cont_age,resp_age,count
70+,0-9,2.9092592592592603
60-69,0-9,3.6982605177993535
50-59,0-9,3.4898897058823484
40-49,0-9,3.5923529411764665
30-39,0-9,7.739778325123157
20-29,0-9,7.920631608235958
10-19,0-9,11.124029771398218
0-9,0-9,18.80855688027816
70+,10-19,2.24654195011338
60-69,10-19,3.4123553240740736
50-59,10-19,3.1482456140350883
40-49,10-19,3.690719696969695
30-39,10-19,6.8158657513348615
20-29,10-19,6.154214559386974
10-19,10-19,14.011512717536831
0-9,10-19,11.738918067226894
70+,20-29,2.3563084112149526
60-69,20-29,2.8097826086956523
50-59,20-29,3.1327107279693482
40-49,20-29,4.424933333333328
30-39,20-29,7.1123229461756345
20-29,20-29,10.482929421768704
10-19,20-29,7.215301318267414
0-9,20-29,10.717342342342343
70+,30-39,2.0722491909385106
60-69,30-39,2.4121681415929213
50-59,30-39,2.4195578231292534
40-49,30-39,4.440129151291512
30-39,30-39,8.312499999999998
20-29,30-39,6.9161652340019115
10-19,30-39,8.512617702448205
0-9,30-39,11.614738475177305
70+,40-49,2.5966312056737597
60-69,40-49,2.8063492063492053
50-59,40-49,3.756470588235295
40-49,40-49,8.081022408963582
30-39,40-49,6.920426065162907
20-29,40-49,7.870413436692506
10-19,40-49,8.158391203703705
0-9,40-49,7.907315521628494
70+,50-59,2.145098039215686
60-69,50-59,3.1600877192982457
50-59,50-59,4.210795454545455
40-49,50-59,5.213333333333334
30-39,50-59,5.177016129032259
20-29,50-59,5.598134328358209
10-19,50-59,6.91468253968254
0-9,50-59,8.376119402985074
70+,60-69,1.9869623655913984
60-69,60-69,3.3561224489795918
50-59,60-69,3.7199305555555564
40-49,60-69,3.8116557734204797
30-39,60-69,5.483255451713395
20-29,60-69,5.621674679487177
10-19,60-69,7.060180995475117
0-9,60-69,8.131458333333336
70+,70+,3.316203703703704
60-69,70+,4.3048076923076914
50-59,70+,4.9960884353741495
40-49,70+,4.618644067796612
30-39,70+,5.354313725490197
20-29,70+,5.787447257383965
10-19,70+,6.311827956989247
0-9,70+,6.30578947368421
