cont_age,resp_age,count
70+,0-9,0.6995276442119607
60-69,0-9,1.5650970652451242
50-59,0-9,0.4226040882458405
40-49,0-9,0.5059818760605818
30-39,0-9,1.0511803329692864
20-29,0-9,0.787873112809859
10-19,0-9,0.7983845779746734
0-9,0-9,1.6110045460571445
70+,10-19,0.8723790521773169
60-69,10-19,1.1319827353179066
50-59,10-19,0.4245155009240813
40-49,10-19,0.8360204543384779
30-39,10-19,1.069685421186376
20-29,10-19,0.6556017808801385
10-19,10-19,1.603216238842093
0-9,10-19,0.8197325434916781
70+,20-29,0.5268717897989387
60-69,20-29,1.1110735631876003
50-59,20-29,0.8003432314415322
40-49,20-29,0.9593129403884788
30-39,20-29,1.24456558039317
20-29,20-29,1.4450921326426271
10-19,20-29,0.70990925050162
0-9,20-29,0.8916074065383571
70+,30-39,0.6393958590385342
60-69,30-39,1.240360885257454
50-59,30-39,0.7307182261424211
40-49,30-39,1.100223281811796
30-39,30-39,1.6284356105486777
20-29,30-39,1.0782102938899052
10-19,30-39,0.8565147416381901
0-9,30-39,0.7435734559119627
70+,40-49,0.7221016790446335
60-69,40-49,0.9427271977313652
50-59,40-49,1.0925380927349444
40-49,40-49,1.8783261403304905
30-39,40-49,1.4631392855325691
20-29,40-49,1.158044828825635
10-19,40-49,0.8529596698985992
0-9,40-49,0.4286322631896519
70+,50-59,0.8383218801165083
60-69,50-59,1.2045449661382008
50-59,50-59,2.198833446656572
40-49,50-59,1.3523504023765978
30-39,50-59,1.4695848321109335
20-29,50-59,1.059436688201616
10-19,50-59,0.6471582285239079
0-9,50-59,0.6156763663488019
70+,60-69,0.6339226842025192
60-69,60-69,2.2336830751952843
50-59,60-69,1.4183062159239574
40-49,60-69,1.3760859440004092
30-39,60-69,1.4887233238230977
20-29,60-69,0.8878207263513757
10-19,60-69,0.6075188300543075
0-9,60-69,0.8053428980833891
70+,70+,1.8448437099436736
60-69,70+,2.3302671685148884
50-59,70+,1.4076691512491195
40-49,70+,1.3611849179006483
30-39,70+,1.1751999699772335
20-29,70+,0.7573769542189807
10-19,70+,0.8548883788062749
0-9,70+,0.6863064374622234
