cont_age,resp_age,count
70+,0-9,1.9623134328358216
60-69,0-9,3.1023474178403787
50-59,0-9,2.757774914089349
40-49,0-9,2.680282738095232
30-39,0-9,7.414770867430445
20-29,0-9,8.14368478857771
10-19,0-9,9.916680887372014
0-9,0-9,20.049988146040768
70+,10-19,1.8287728026534007
60-69,10-19,3.085167714884692
50-59,10-19,2.7541932059447998
40-49,10-19,4.047043701799488
30-39,10-19,6.452879403794037
20-29,10-19,4.646192696192699
10-19,10-19,19.329354354354344
0-9,10-19,11.342986968449928
70+,20-29,1.50045045045045
60-69,20-29,2.3612318840579714
50-59,20-29,2.7517271157167547
40-49,20-29,4.134673202614377
30-39,20-29,5.808815028901737
20-29,20-29,10.842665036674807
10-19,20-29,6.214595660749506
0-9,20-29,11.777409162717221
70+,30-39,1.6227541371158385
60-69,30-39,2.050847457627119
50-59,30-39,2.5598696461824963
40-49,30-39,3.9754357298474936
30-39,30-39,7.927228915662647
20-29,30-39,6.279820736434113
10-19,30-39,9.107508680555553
0-9,30-39,11.234912070343725
70+,40-49,1.6469806763285026
60-69,40-49,2.5640957446808503
50-59,40-49,3.4277777777777785
40-49,40-49,5.826903292181068
30-39,40-49,6.583498896247237
20-29,40-49,7.258978873239433
10-19,40-49,10.397575757575762
0-9,40-49,6.712401574803147
70+,50-59,1.9721264367816087
60-69,50-59,2.8234848484848487
50-59,50-59,5.122514619883042
40-49,50-59,4.0219551282051285
30-39,50-59,3.895833333333333
20-29,50-59,6.068095238095242
10-19,50-59,6.113011695906434
0-9,50-59,7.754358974358977
70+,60-69,2.8703703703703702
60-69,60-69,4.39364478114478
50-59,60-69,4.541666666666667
40-49,60-69,3.9382936507936495
30-39,60-69,5.265077519379847
20-29,60-69,5.579615384615382
10-19,60-69,7.0844444444444505
0-9,60-69,8.37294238683128
70+,70+,3.3819444444444446
60-69,70+,4.098880597014926
50-59,70+,3.245659722222221
40-49,70+,3.7494855967078196
30-39,70+,3.236865942028985
20-29,70+,4.059459459459458
10-19,70+,5.5278816199376966
0-9,70+,5.479166666666666
