cont_age,resp_age,count
70+,0-9,1.1812865497076024
60-69,0-9,1.614077669902913
50-59,0-9,1.4227941176470589
40-49,0-9,1.5529411764705885
30-39,0-9,2.67816091954023
20-29,0-9,2.8597662771285486
10-19,0-9,4.103668261562999
0-9,0-9,6.5305514157973175
70+,10-19,1.1088435374149659
60-69,10-19,1.4861111111111112
50-59,10-19,1.5167464114832536
40-49,10-19,2.00974025974026
30-39,10-19,3.091533180778032
20-29,10-19,3.3632183908045983
10-19,10-19,5.734939759036144
0-9,10-19,4.9180672268907575
70+,20-29,1.1401869158878504
60-69,20-29,1.6
50-59,20-29,1.9367816091954024
40-49,20-29,2.94
30-39,20-29,4.152974504249292
20-29,20-29,5.456632653061225
10-19,20-29,4.002824858757062
0-9,20-29,4.235872235872236
70+,30-39,1.2815533980582523
60-69,30-39,1.7787610619469028
50-59,30-39,2.2193877551020407
40-49,30-39,3.690036900369004
30-39,30-39,5.382513661202187
20-29,30-39,5.544412607449857
10-19,30-39,4.833333333333333
0-9,30-39,4.5132978723404245
70+,40-49,1.297872340425532
60-69,40-49,1.8095238095238089
50-59,40-49,3.117647058823529
40-49,40-49,4.907563025210084
30-39,40-49,5.165413533834586
20-29,40-49,6.271317829457363
10-19,40-49,4.3402777777777795
0-9,40-49,3.732824427480916
70+,50-59,1.2352941176470589
60-69,50-59,1.6842105263157894
50-59,50-59,3.1136363636363638
40-49,50-59,3.26
30-39,50-59,4.612903225806452
20-29,50-59,4.611940298507463
10-19,50-59,4.142857142857143
0-9,50-59,3.9402985074626864
70+,60-69,1.1935483870967742
60-69,60-69,1.761904761904762
50-59,60-69,2.7333333333333334
40-49,60-69,3.633986928104575
30-39,60-69,4.602803738317757
20-29,60-69,4.634615384615385
10-19,60-69,3.7782805429864244
0-9,60-69,4.375
70+,70+,1.6666666666666667
60-69,70+,3.0192307692307687
50-59,70+,3.591836734693877
40-49,70+,3.2033898305084745
30-39,70+,3.6941176470588237
20-29,70+,4.151898734177215
10-19,70+,3.989247311827957
0-9,70+,3.263157894736842
