cont_age,resp_age,count
70+,0-9,0.5606342361698381
60-69,0-9,1.144937727376089
50-59,0-9,0.5365037011152056
40-49,0-9,0.3992078947883009
30-39,0-9,1.07415016660046
20-29,0-9,0.7528993324416311
10-19,0-9,0.8919801401218741
0-9,0-9,1.628590712425147
70+,10-19,0.57569522003134
60-69,10-19,1.1549862170058824
50-59,10-19,0.5651149096810111
40-49,10-19,0.5836392028556046
30-39,10-19,1.0720301617283732
20-29,10-19,0.6719193216560952
10-19,10-19,1.3766852217401129
0-9,10-19,1.1283673001998955
70+,20-29,0.5752343473583935
60-69,20-29,1.0105891867511372
50-59,20-29,0.6538337838899122
40-49,20-29,0.7383591302298478
30-39,20-29,1.1972154428311208
20-29,20-29,1.3406859742894484
10-19,20-29,0.6738218244132019
0-9,20-29,1.1696853342327105
70+,30-39,0.5137186905545416
60-69,30-39,0.9141288529016904
50-59,30-39,0.5938319940952226
40-49,30-39,0.8925549988902621
30-39,30-39,1.4978263791576951
20-29,30-39,0.8327925893077931
10-19,30-39,0.830589080476463
0-9,30-39,1.2296302968077055
70+,40-49,0.7314270571311263
60-69,40-49,1.0451078116800991
50-59,40-49,1.0661085255360307
40-49,40-49,1.8530227380931417
30-39,40-49,1.1817466266512235
20-29,40-49,0.9292401647690112
10-19,40-49,0.8567957142078303
0-9,40-49,0.7638926918092471
70+,50-59,0.6392318317127165
60-69,50-59,1.3008305837651275
50-59,50-59,1.6788328665497665
40-49,50-59,1.2561561226898876
30-39,50-59,1.0297197602058568
20-29,50-59,0.8595219506992013
10-19,50-59,0.8002102190298861
0-9,50-59,1.0563664312413628
70+,60-69,0.6239077113309208
60-69,60-69,1.754314982421864
50-59,60-69,1.226368807332789
40-49,60-69,0.8051935683308229
30-39,60-69,1.169768458492642
20-29,60-69,0.8043569684695675
10-19,60-69,0.8793004596318987
0-9,60-69,1.1141303166600236
70+,70+,1.483134684300011
60-69,70+,2.0446121556307
50-59,70+,1.5815027243928141
40-49,70+,1.0558140869632269
30-39,70+,1.1723595535431348
20-29,70+,0.7869685044941709
10-19,70+,0.8292034176711894
0-9,70+,0.8719811020680958
