cont_age,resp_age,count
70+,0-9,0.6392975193272863
60-69,0-9,1.2699739056348212
50-59,0-9,0.5308922069515167
40-49,0-9,0.47920453796647206
30-39,0-9,0.8702167941779116
20-29,0-9,0.7461843081983394
10-19,0-9,0.8945333126485034
0-9,0-9,1.6928047032425415
70+,10-19,0.6854376338162917
60-69,10-19,0.934079447834466
50-59,10-19,0.4715811687664949
40-49,10-19,0.6483204312252614
30-39,10-19,0.8630542461820235
20-29,10-19,0.704442831217252
10-19,10-19,1.7806164844793693
0-9,10-19,0.8401610406988805
70+,20-29,0.5555274504263646
60-69,20-29,1.0592397424564994
50-59,20-29,0.9707966678608276
40-49,20-29,1.0346990752379654
30-39,20-29,1.3053885259460785
20-29,20-29,1.6452558722766424
10-19,20-29,0.6886856622403781
0-9,20-29,0.6465791353826477
70+,30-39,0.6482882265817055
60-69,30-39,1.4069432215837352
50-59,30-39,0.9844676264030464
40-49,30-39,1.4082279722373403
30-39,30-39,1.6976115623910497
20-29,30-39,1.1428035039469195
10-19,30-39,0.7032575461950783
0-9,30-39,0.6026990109093373
70+,40-49,0.8248769678073775
60-69,40-49,1.3224631479016624
50-59,40-49,1.6652958585962945
40-49,40-49,1.864944426270952
30-39,40-49,1.5644759679892126
20-29,40-49,1.2659221637623468
10-19,40-49,0.680528684169088
0-9,40-49,0.26686077205367753
70+,50-59,0.9109438528538664
60-69,50-59,1.0364787704358618
50-59,50-59,1.718863034632065
40-49,50-59,1.4427348817528451
30-39,50-59,1.3689171928754815
20-29,50-59,1.2187837058014397
10-19,50-59,0.727749648944975
0-9,50-59,0.5465631368199627
70+,60-69,0.7789934884934001
60-69,60-69,1.9006091716811664
50-59,60-69,1.6698813322921309
40-49,60-69,1.4426563950726186
30-39,60-69,1.5229172406743063
20-29,60-69,0.9232810719416092
10-19,60-69,0.6046672984224112
0-9,60-69,0.7061383267898381
70+,70+,1.5660665255803117
60-69,70+,1.7577927368756976
50-59,70+,1.5612849543170102
40-49,70+,1.4528816577197308
30-39,70+,1.3030810642825514
20-29,70+,0.8809679114874149
10-19,70+,0.7831359148255406
0-9,70+,0.6452426212779231
