cont_age,resp_age,count
70+,0-9,0.4410403277220911
60-69,0-9,1.1809683486324165
50-59,0-9,0.3068887375002609
40-49,0-9,0.29356696242452274
30-39,0-9,1.045028245848103
20-29,0-9,0.7988112706498448
10-19,0-9,0.7600528090284976
0-9,0-9,1.8523576351214288
70+,10-19,0.5583378701833646
60-69,10-19,0.9966433950754718
50-59,10-19,0.3254979433365866
40-49,10-19,0.6897594560164915
30-39,10-19,0.98629334540133
20-29,10-19,0.4269818164566546
10-19,10-19,1.8394804927151605
0-9,10-19,0.9546377835943
70+,20-29,0.3667625120292598
60-69,20-29,0.9376694605857472
50-59,20-29,0.6556105945549671
40-49,20-29,0.7523934019961487
30-39,20-29,0.940982872482364
20-29,20-29,1.4848351420346722
10-19,20-29,0.5615845127432935
0-9,20-29,1.343181135157261
70+,30-39,0.5318889221112884
60-69,30-39,0.9639042793631912
50-59,30-39,0.5472114956018941
40-49,30-39,0.7967809201292201
30-39,30-39,1.542482468132708
20-29,30-39,0.7036956002628342
10-19,30-39,0.9175286232417929
0-9,30-39,1.2556171011923185
70+,40-49,0.6726575353092022
60-69,40-49,0.8857369597180744
50-59,40-49,0.9151503569277304
40-49,40-49,1.7127977434551864
30-39,40-49,1.2017599501201643
20-29,40-49,0.8808418486150535
10-19,40-49,1.174375761829254
0-9,40-49,0.5832984446027109
70+,50-59,0.9411301066657712
60-69,50-59,1.5034742970446138
50-59,50-59,2.5137161679417352
40-49,50-59,1.0189964918949581
30-39,50-59,0.8463619528606803
20-29,50-59,0.9939614239373604
10-19,50-59,0.6889219708935015
0-9,50-59,0.9802984120451044
70+,60-69,0.7287469358518992
60-69,60-69,2.8209099701971168
50-59,60-69,1.2759809536229794
40-49,60-69,0.9704722795921792
30-39,60-69,1.083454995862439
20-29,60-69,0.7419467341603893
10-19,60-69,0.7450291740625714
0-9,60-69,1.1033169046166298
70+,70+,2.6718678889089142
60-69,70+,2.6564234016446804
50-59,70+,1.172964234711187
40-49,70+,1.2040889608499368
30-39,70+,0.8560415794022584
20-29,70+,0.5915496728559587
10-19,70+,0.9518333921092774
0-9,70+,0.8752626395423971
