number,player,season,time,xG,xA,xGp90,xAp90
1,José Sá,2021,1710,0.0,0.3950190395116806,0.0,0.020790475763772662
2,Ki-Jana Hoever,2020,568,0.057456035166978836,0.18425296619534487,0.009103949234204394,0.029195012249262395
2,Ki-Jana Hoever,2021,190,0.03382989764213562,0.08631426841020584,0.016024688356801084,0.04088570608904487
3,Rayan Ait Nouri,2018,50,0.0,0.0,0.0,0.0
3,Rayan Ait Nouri,2019,1293,0.2377614304423332,0.6413344694301486,0.016549519520348017,0.044640450308363014
3,Rayan Ait Nouri,2020,1604,0.5786670995876193,1.000185763463378,0.03246885222125046,0.05612014882275811
3,Rayan Ait Nouri,2021,715,0.22120513767004013,0.7902646800503135,0.027844003343081975,0.09947387581052897
5,Fernando Marçal,2016,2687,0.6777732130140066,6.807752368971705,0.02270174513258675,0.22802296732692723
5,Fernando Marçal,2017,1300,0.04720441810786724,1.8222482418641448,0.003267998176698501,0.12615564751367156
5,Fernando Marçal,2018,888,0.15623687580227852,0.14597204700112346,0.015834818493474175,0.014794464223086836
5,Fernando Marçal,2019,833,0.09091309271752834,1.372350923717022,0.009822543030705344,0.1482732090450564
5,Fernando Marçal,2020,691,0.07455454580485821,0.13980726152658465,0.009710432883411344,0.018209339417355454
5,Fernando Marçal,2021,962,0.4602448353543878,0.057363340631127364,0.043058248629828384,0.00536663269937782
8,Rúben Neves,2018,3014,3.393738809041679,1.8831316344439983,0.10133924778160289,0.05623153520237553
8,Rúben Neves,2019,3081,1.638083690777421,2.6060938835144043,0.04785054598181366,0.07612737731785017
8,Rúben Neves,2020,2681,4.744082774966955,2.061172847636044,0.15925678841739127,0.06919267299039313
8,Rúben Neves,2021,1441,0.5568378474563361,1.5367365833371878,0.03477821392857061,0.09597938410849889
9,Raúl Jiménez,2014,558,2.7381971646100283,2.1030928343534465,0.4416447039693594,0.3392085216699107
9,Raúl Jiménez,2018,3143,14.273595059290528,6.991126699373126,0.4087252800942245,0.20019134678446748
9,Raúl Jiménez,2019,3269,16.510798024013642,7.226940844208003,0.4545646442830308,0.19896747506231885
9,Raúl Jiménez,2020,824,2.360909685492516,0.6329625025391579,0.2578663491436,0.0691342539181119
9,Raúl Jiménez,2021,1479,3.601715880446136,2.099011369049549,0.21917135175128616,0.1277288865547393
10,Daniel Podence,2019,284,1.3593143299221992,0.7727443873882294,0.4307686256795702,0.2448837847357065
10,Daniel Podence,2020,1718,2.744377875700593,1.8394327834248545,0.14376834040340708,0.09636143801410764
10,Daniel Podence,2021,507,0.8042968697845936,1.8266191650182009,0.1427745922694545,0.324251922784296
11,Trincão,2020,636,3.1336182076483965,0.4820680767297745,0.4434365388181693,0.06821718066930771
11,Trincão,2021,876,2.9356551095843315,0.9992841091006994,0.3016084016696231,0.10266617559253761
16,Conor Coady,2018,3420,0.0,0.013486512005329132,0.0,0.0003549082106665561
16,Conor Coady,2019,3420,0.0,0.5321237146854401,0.0,0.014003255649616844
16,Conor Coady,2020,3305,1.445029648952186,0.1962383016943932,0.03935027788372065,0.0053438569296506465
16,Conor Coady,2021,1708,0.8970039878040552,0.0,0.04726601809271954,0.0
17,Fabio Silva,2020,1341,6.13615732640028,1.1684245318174362,0.4118226393557235,0.07841775381325075
17,Fabio Silva,2021,33,0.013687992468476295,0.33672723174095154,0.0373308885503899,0.9183469956571405
18,Morgan Gibbs-White,2018,628,0.9925081226974726,1.3041689451783895,0.14223842522734478,0.18690319278034245
18,Morgan Gibbs-White,2019,119,0.07185499556362629,0.0708760917186737,0.0543441142918182,0.05360376684605574
18,Morgan Gibbs-White,2020,395,0.8142988905310631,0.40694379061460495,0.1855364560703688,0.09272137001345429
18,Morgan Gibbs-White,2021,4,0.09891022741794586,0.0,2.225480116903782,0.0
22,Nélson Semedo,2017,1494,0.2851271387189627,1.2114496361464262,0.017176333657768838,0.07297889374376061
22,Nélson Semedo,2018,1603,0.3598099909722805,0.2876764461398125,0.02020143430287289,0.016151516002859093
22,Nélson Semedo,2019,2097,0.6746817883104086,2.2628621887415648,0.028956299927485347,0.09711854887302852
22,Nélson Semedo,2020,2994,1.3097368124872446,0.9027991937473416,0.03937084606675084,0.027138252317054357
22,Nélson Semedo,2021,1492,1.2595602944493294,0.7995970454066992,0.07597883813702389,0.04823306574169097
23,Max Kilman,2018,1,0.0,0.0,0.0,0.0
23,Max Kilman,2019,183,0.0,0.0,0.0,0.0
23,Max Kilman,2020,1291,0.30801636539399624,0.3130578696727753,0.021472868230410273,0.02182432863714158
23,Max Kilman,2021,1710,1.078040711581707,0.1449058810248971,0.05673898482008984,0.007626625317099847
26,Hee-Chan Hwang,2020,434,2.0261164903640747,0.6018608640879393,0.420162405835868,0.124809856608098
26,Hee-Chan Hwang,2021,1027,2.471835458651185,0.8159827785566449,0.2166165445750795,0.07150774106143919
27,Romain Saiss,2015,3115,2.46288918890059,1.2092728158459067,0.07115891717529794,0.034938861453011755
27,Romain Saiss,2018,1133,1.289246629923582,0.727379709482193,0.10241147104423864,0.057779500311912944
27,Romain Saiss,2019,2702,3.669838863424957,1.2324710749089718,0.1222374158801799,0.04105196030414784
27,Romain Saiss,2020,2409,3.169141481630504,0.6693505402654409,0.11839881002355557,0.025006869499331542
27,Romain Saiss,2021,1668,2.67127847392112,0.21051678620278835,0.14413373060725468,0.011358819399431026
28,João Moutinho,2014,3165,4.560934616252781,6.4831371856853375,0.12969482321097955,0.18435461191522287
28,João Moutinho,2015,2123,0.9550541080534458,3.985108619555831,0.04048745629995767,0.16894007336788733
